canal,observado_em,marca_canal,item_id,model_id,seller_sku,sinal_kit,fonte_do_sinal,ativo,escopo,referencia_antes,motivo_antes,status_ponte,metodo_ponte,kit_protheus,marca_kit,n_componentes,unidades,componentes,quantidades,componentes_resolvidos,metodos_do_componente,valor_antes_do_desconto,faixa_desconto,referencia_depois,motivo_depois,ganhou_referencia,bloqueado_para_aprovacao
shopee,2026-09-25,barbours,58208917279,189188308776,KIT108,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,22594400903,229428147904,ML3FABULOSA,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,23498987107,189612946361,MKPUNIFANTI,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,58201692468,169411745347,MLIPECIRCU,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,22994391535,239428143405,ML2PREBIOTICA,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,barbours,58209360688,129656328698,KIT011,kit_confirmed,channel_flag,False,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,18999901264,199180499562,IMUNO-ANTIOXI90-SHOP,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,19099892403,219180503225,DFASJKHR_SHOP,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,58264768320,229446985581,MLFEMMEJUICY,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,23094519494,219180498388,MLRITURUGA,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,22998888040,189611676278,ML3PREBIOTICA,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,20798322847,239430010728,MLCOMPLETAO,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,58214770281,139841223549,MLNUTRIPREB4MAG,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,58210270004,199189159573,MLMAPINACOMB,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,rituaria,58206312204,169414273563,MLESSENCIAL,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,lescent,58251338955,239433372822,KIT003,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,lescent,58250181152,109726127569,KIT001,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,lescent,58268320373,228812634727,KIT018,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,21098297872,149786695726,KIT001,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22098920198,189179346549,KIT006,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22198920251,169720462296,KIT008,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,20198297966,238791758619,KIT002,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22998901214,219611803664,KIT064,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,18798300349,229428318998,KIT032,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22898897116,189611803673,KIT050,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,18398314747,179720467501,KIT031,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,19098294990,139652358414,KIT033,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22198920417,179409023318,KIT036,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,19698294968,189179349498,KIT007,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22494409921,239428308261,KIT012,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22498910617,139835689213,KIT049,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22999659381,219624706594,KIT089,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22698906996,149786697755,KIT070,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,21499886753,239428304615,KIT003,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,20798313514,179720465881,KIT009,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22894404953,229428323817,KIT060,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22694408784,209611798617,KIT014,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
shopee,2026-09-25,apice,22594656395,189181439634,KIT072,kit_confirmed,channel_flag,True,in_scope,,kit_composition_missing,UNMAPPED,,,,,,,,0,,,,,kit_bridge_not_promotable,False,False
